"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U1";"TB6612FNG Breakout";1;"TB6612FNG_breakout";;;
2;"J1";"PinSocket_1x04_P2.54mm_Vertical";1;"BT_MOD";;;
3;"ArduinoNano1";"Arduino_Nano";1;"Arduino_Nano_v3.x";;;
4;"C3,C2,C4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"0.1u";;;
5;"J5";"Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical";1;"M1";;;
6;"D1,D2";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";2;"WS2812B";;;
7;"SW1";"SPST slide switch";1;"SW_SPDT";;;
8;"SW2";"SW_Push_1P1T_NO_Vertical_Wuerth_434133025816";1;"SW_Push";;;
9;"U2";"TO-220-3_Vertical";1;"LM7805_TO220";;;
10;"J7";"Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical";1;"M2";;;
11;"J6";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"BATT";;;
12;"J4";"PinHeader_1x09_P2.54mm_Horizontal";1;"QTR-6A";;;
13;"J3";"PinHeader_1x03_P2.54mm_Vertical";1;"QTR1-R";;;
14;"R0";"R_1206_3216Metric";1;"RESISTOR1206";;;
15;"J2";"PinHeader_1x03_P2.54mm_Vertical";1;"QTR1-L";;;
16;"R1";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"1K";;;
17;"R2";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"2K";;;
18;"C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"0.22u";;;
